"comuna","confia_muchobastante_pdiFALSE","confia_muchobastante_pdiTRUE","se.confia_muchobastante_pdiFALSE","se.confia_muchobastante_pdiTRUE"
"Ovalle",0.824940883355837,0.175059116644163,0.0183649337235551,0.0183649337235552
"Padre Hurtado",0.95258795833022,0.0474120416697798,0.0113853255239784,0.0113853255239784
"Padre Las Casas",0.817626402576999,0.182373597423,0.0300254001304955,0.0300254001304955
"Paillaco",0.816578742859263,0.183421257140737,0.0284323080845925,0.0284323080845925
"Paine",0.845555740064859,0.154444259935141,0.0222195253352381,0.0222195253352381
"Panguipulli",0.613276920824271,0.386723079175729,0.0310835970299241,0.0310835970299241
"Parral",0.840514888075254,0.159485111924746,0.0302738711221335,0.0302738711221335
"Pedro Aguirre Cerda",0.771832813078695,0.228167186921305,0.0277894987564944,0.0277894987564944
"Penaflor",0.795820049729605,0.204179950270395,0.0267482014237749,0.0267482014237749
"Penalolen",0.7189968081885,0.2810031918115,0.0276960605401726,0.0276960605401726
"Penco",0.757311850992429,0.242688149007571,0.0245406426556781,0.0245406426556781
"Pichilemu",0.817815880130761,0.182184119869239,0.0231029297806648,0.0231029297806648
"Pitrufquen",0.847245189711198,0.152754810288802,0.0325776333742419,0.0325776333742419
"Pozo Almonte",0.870379093768709,0.129620906231291,0.0354748957892745,0.0354748957892745
"Providencia",0.743069794706148,0.256930205293852,0.0234477077490258,0.0234477077490258
"Pucon",0.946649699306956,0.0533503006930438,0.0176567827181413,0.0176567827181413
"Pudahuel",0.869011127436315,0.130988872563685,0.02519233954654,0.02519233954654
"Puente Alto",0.914163186312167,0.0858368136878331,0.0136125725741743,0.0136125725741743
"Puerto Montt",0.80118854437184,0.19881145562816,0.0196371237893976,0.0196371237893976
"Puerto Varas",0.826724912473764,0.173275087526236,0.0272648004960195,0.0272648004960194
"Punta Arenas",0.722545056068134,0.277454943931866,0.0164178934944146,0.0164178934944146
"Quellon",0.855137520928812,0.144862479071188,0.0329881726256099,0.0329881726256099
"Quilicura",0.807676233754421,0.192323766245579,0.022290691157158,0.022290691157158
