"comuna","confia_muchobastante_carabinerosFALSE","confia_muchobastante_carabinerosTRUE","se.confia_muchobastante_carabinerosFALSE","se.confia_muchobastante_carabinerosTRUE"
"Puente Alto",0.844712974078905,0.155287025921095,0.0172466768918776,0.0172466768918776
"Puerto Montt",0.798261166617441,0.201738833382559,0.022905014327112,0.022905014327112
"Puerto Varas",0.746805467969488,0.253194532030512,0.0272572226860064,0.0272572226860064
"Punta Arenas",0.701893962854172,0.298106037145828,0.0176439274834637,0.0176439274834637
"Quellon",0.78282533826333,0.217174661736669,0.031382950265975,0.031382950265975
"Quilicura",0.851466541743036,0.148533458256964,0.0230831642052543,0.0230831642052543
"Quillon",0.813120038721125,0.186879961278875,0.0347831707178519,0.0347831707178519
"Quillota",0.750056359406205,0.249943640593795,0.0235715688528657,0.0235715688528657
"Quilpue",0.727416976707104,0.272583023292895,0.0200752239491437,0.0200752239491437
"Quinta Normal",0.788571978923728,0.211428021076272,0.0211743782993793,0.0211743782993793
"Quirihue",0.738194063600127,0.261805936399873,0.0284327892681374,0.0284327892681374
"Rancagua",0.773924191335535,0.226075808664465,0.0210821768604241,0.0210821768604241
"Recoleta",0.838835003330332,0.161164996669668,0.0172151422710656,0.0172151422710656
"Renca",0.89098916501245,0.10901083498755,0.0184171277646788,0.0184171277646788
"Rengo",0.856759197149908,0.143240802850092,0.0230054816776233,0.0230054816776233
"Rio Bueno",0.836636091660282,0.163363908339718,0.0225817991329871,0.022581799132987
"San Antonio",0.85217949174227,0.14782050825773,0.0255549902069843,0.0255549902069843
"San Bernardo",0.840997222868183,0.159002777131817,0.0210409721935496,0.0210409721935496
"San Carlos",0.74256375184888,0.25743624815112,0.0309533694963278,0.0309533694963278
"San Felipe",0.810764333118073,0.189235666881927,0.0212578639067128,0.0212578639067128
"San Fernando",0.735618460602195,0.264381539397805,0.0248577366711419,0.0248577366711419
"San Javier",0.759142904744064,0.240857095255936,0.0295245063005557,0.0295245063005557
"San Joaquin",0.829053624596872,0.170946375403128,0.0283074963422978,0.0283074963422978
"San Miguel",0.749138184970704,0.250861815029296,0.0217433411475335,0.0217433411475335
"San Pedro de la Paz",0.782070831950509,0.217929168049491,0.020755446243955,0.020755446243955
"San Ramon",0.826182578004862,0.173817421995138,0.0212014928541925,0.0212014928541925
"San Vicente",0.786628270355728,0.213371729644272,0.029403854276586,0.029403854276586
"Santa Cruz",0.795274438304222,0.204725561695778,0.0257015796489986,0.0257015796489986
"Santiago",0.808388730461647,0.191611269538353,0.013203188906518,0.013203188906518
"Talagante",0.80963212848115,0.19036787151885,0.0236036268850549,0.0236036268850549
"Talca",0.74671985851794,0.25328014148206,0.0200082704288772,0.0200082704288772
"Talcahuano",0.747914980656997,0.252085019343003,0.019945523363369,0.019945523363369
"Temuco",0.753766487382102,0.246233512617898,0.0195465387520228,0.0195465387520228
"Tocopilla",0.770289830126853,0.229710169873147,0.0344894419720829,0.0344894419720829
"Tome",0.797261361769953,0.202738638230047,0.0233763044880235,0.0233763044880235
"Valdivia",0.739204605724079,0.260795394275921,0.0210009505338097,0.0210009505338097
"Vallenar",0.832800932585199,0.167199067414801,0.0262091318643623,0.0262091318643623
"Valparaiso",0.80683781706271,0.19316218293729,0.0170617076072501,0.0170617076072501
"Victoria",0.75616183315474,0.24383816684526,0.0324609059974285,0.0324609059974285
"Vilcun",0.876671402697872,0.123328597302128,0.0240338273379515,0.0240338273379515
"Villa Alemana",0.853599739206372,0.146400260793627,0.0142335585002652,0.0142335585002652
"Villarrica",0.790218274979986,0.209781725020014,0.0354102749242476,0.0354102749242476
"Vina del Mar",0.767245468708887,0.232754531291113,0.0152588493052887,0.0152588493052887
"Vitacura",0.826328200360366,0.173671799639634,0.0285210736703486,0.0285210736703486
"Yungay",0.763710441212278,0.236289558787722,0.036326644531292,0.036326644531292
