"comuna","si_medidas_seguridad_proteccionFALSE","si_medidas_seguridad_proteccionTRUE","se.si_medidas_seguridad_proteccionFALSE","se.si_medidas_seguridad_proteccionTRUE"
"Santa Cruz",0.761019358539066,0.238980641460934,0.0423871516293887,0.0423871516293887
"Santiago",0.809810869801587,0.190189130198413,0.0201852129982052,0.0201852129982052
"Talagante",0.545811504824244,0.454188495175756,0.0409647694765742,0.0409647694765742
"Talca",0.597697909066006,0.402302090933994,0.0282404836585023,0.0282404836585023
"Talcahuano",0.73386426009456,0.26613573990544,0.0285090218430336,0.0285090218430336
"Temuco",0.613629111250457,0.386370888749543,0.031799040761345,0.031799040761345
"Tocopilla",0.856143202305551,0.143856797694449,0.0392783420054192,0.0392783420054192
"Tome",0.845510168107428,0.154489831892572,0.0298955261143582,0.0298955261143582
"Valdivia",0.479489209873012,0.520510790126988,0.0296059841881951,0.0296059841881951
"Vallenar",0.523881715769293,0.476118284230707,0.0453692940207911,0.0453692940207911
"Valparaiso",0.708602400028318,0.291397599971682,0.0268746096291832,0.0268746096291832
"Victoria",0.824947174572834,0.175052825427166,0.0352990413254984,0.0352990413254984
"Vilcun",0.786533031897948,0.213466968102052,0.0381458430455725,0.0381458430455725
"Villa Alemana",0.470662292534298,0.529337707465702,0.030770723576158,0.030770723576158
"Villarrica",0.533335595135954,0.466664404864046,0.0572088199135171,0.0572088199135171
"Vina del Mar",0.68020247900472,0.31979752099528,0.0202444565346092,0.0202444565346092
"Vitacura",0.681077580785312,0.318922419214689,0.0487744079950956,0.0487744079950956
"Yungay",0.815080582418311,0.184919417581689,0.0321606589592813,0.0321606589592813
