"comuna","si_medidas_seguridad_proteccionFALSE","si_medidas_seguridad_proteccionTRUE","se.si_medidas_seguridad_proteccionFALSE","se.si_medidas_seguridad_proteccionTRUE"
"Padre Hurtado",0.230586126502307,0.769413873497693,0.0320898405814586,0.0320898405814586
"Padre Las Casas",0.46763521288946,0.53236478711054,0.062125893816328,0.062125893816328
"Paillaco",0.823586795686745,0.176413204313255,0.0359912476038762,0.0359912476038762
"Paine",0.717618649596261,0.282381350403739,0.0460194639894468,0.0460194639894468
"Panguipulli",0.96607905931304,0.0339209406869598,0.0156761199645445,0.0156761199645445
"Parral",0.880895159314995,0.119104840685005,0.0248949985497056,0.0248949985497056
"Pedro Aguirre Cerda",0.748841403604235,0.251158596395765,0.0333082233280201,0.0333082233280201
"Penaflor",0.438489386466798,0.561510613533202,0.0347134747268168,0.0347134747268168
"Penalolen",0.753858770204159,0.246141229795841,0.0310648444533575,0.0310648444533575
"Penco",0.825321580627245,0.174678419372755,0.026008985882363,0.026008985882363
"Pichilemu",0.90725778949354,0.0927422105064602,0.0285809707919396,0.0285809707919396
"Pitrufquen",0.56747865491265,0.432521345087349,0.0382164995616956,0.0382164995616956
"Pozo Almonte",0.897642881548764,0.102357118451235,0.0303213042253778,0.0303213042253778
"Providencia",0.6764959421767,0.3235040578233,0.0285380858473311,0.0285380858473311
"Pucon",0.856603097454686,0.143396902545314,0.0398308847653912,0.0398308847653912
"Pudahuel",0.419836415676114,0.580163584323886,0.0346309921995047,0.0346309921995047
"Puente Alto",0.55278651585172,0.44721348414828,0.0319767233971675,0.0319767233971675
"Puerto Montt",0.735694123733934,0.264305876266066,0.0240605516827084,0.0240605516827084
"Puerto Varas",0.762693227517103,0.237306772482897,0.0420538929242047,0.0420538929242047
"Punta Arenas",0.691688625743852,0.308311374256148,0.0272907638150433,0.0272907638150433
"Quellon",0.914044028456628,0.0859559715433719,0.0278260773774503,0.0278260773774503
"Quilicura",0.272274750903536,0.727725249096464,0.0449151419893647,0.0449151419893647
"Quillon",0.646104377966569,0.353895622033431,0.0580965894844688,0.0580965894844688
"Quillota",0.65796567324864,0.34203432675136,0.0321717414932135,0.0321717414932135
"Quilpue",0.59326080575305,0.40673919424695,0.029607658059253,0.029607658059253
"Quinta Normal",0.716723631210273,0.283276368789727,0.0301362863770486,0.0301362863770486
"Quirihue",0.707442701144883,0.292557298855117,0.0447039559226047,0.0447039559226047
"Rancagua",0.710905954463722,0.289094045536278,0.0283320504020847,0.0283320504020847
"Recoleta",0.61938796207801,0.38061203792199,0.0300773026629733,0.0300773026629733
"Renca",0.574730423694912,0.425269576305088,0.0406386148493235,0.0406386148493235
"Rengo",0.766564833427397,0.233435166572603,0.0336966812889202,0.0336966812889202
"Rio Bueno",0.765028876686684,0.234971123313316,0.0277863349092913,0.0277863349092913
"San Antonio",0.605716020213341,0.394283979786659,0.0424633146059506,0.0424633146059506
"San Bernardo",0.636332533064722,0.363667466935278,0.0306294923970023,0.0306294923970023
"San Carlos",0.754059034965554,0.245940965034446,0.036912195188275,0.036912195188275
"San Felipe",0.617804973371335,0.382195026628665,0.0322057990391104,0.0322057990391104
"San Fernando",0.788744652871832,0.211255347128168,0.0286640716167758,0.0286640716167758
