"comuna","confia_muchobastante_policiasFALSE","confia_muchobastante_policiasTRUE","se.confia_muchobastante_policiasFALSE","se.confia_muchobastante_policiasTRUE"
"Pitrufquen",0.671292493626037,0.328707506373963,0.0351237329045906,0.0351237329045906
"Pozo Almonte",0.749790512935118,0.250209487064882,0.0526508509324217,0.0526508509324217
"Providencia",0.614142475338702,0.385857524661297,0.0266713780905108,0.0266713780905108
"Pucon",0.834554338829829,0.165445661170171,0.0289214870782453,0.0289214870782453
"Pudahuel",0.765252568023676,0.234747431976324,0.0315854788871355,0.0315854788871355
"Puente Alto",0.819651494234376,0.180348505765624,0.0191795329300399,0.0191795329300399
"Puerto Montt",0.704327237652304,0.295672762347696,0.0259621436408674,0.0259621436408674
"Puerto Varas",0.711955242705791,0.288044757294209,0.0289955650953429,0.0289955650953429
"Punta Arenas",0.594614848804775,0.405385151195225,0.0182837539851084,0.0182837539851084
"Quellon",0.729314399652819,0.270685600347181,0.0384898087839763,0.0384898087839763
"Quilicura",0.732139931426544,0.267860068573456,0.0270864427541369,0.0270864427541369
"Quillon",0.744125689794677,0.255874310205323,0.0343155851844277,0.0343155851844277
"Quillota",0.631965916975843,0.368034083024157,0.0297640777689279,0.0297640777689279
"Quilpue",0.620052344643311,0.379947655356689,0.0233688569854326,0.0233688569854326
"Quinta Normal",0.719008888420486,0.280991111579514,0.0255937119565329,0.0255937119565329
"Quirihue",0.733828140283947,0.266171859716053,0.0327117655510348,0.0327117655510348
"Rancagua",0.6726473695006,0.3273526304994,0.0314741065144528,0.0314741065144528
"Recoleta",0.764618751877947,0.235381248122053,0.0234957384218738,0.0234957384218738
"Renca",0.834019166544358,0.165980833455642,0.024839899513553,0.024839899513553
"Rengo",0.757301869314518,0.242698130685482,0.0295256783178969,0.0295256783178969
"Rio Bueno",0.792842519276895,0.207157480723105,0.0222372133297913,0.0222372133297913
"San Antonio",0.786299251423814,0.213700748576186,0.0305833757858597,0.0305833757858597
"San Bernardo",0.76196033825127,0.238039661748729,0.0229000110482273,0.0229000110482273
"San Carlos",0.653335612965685,0.346664387034315,0.0346643180260359,0.0346643180260359
"San Felipe",0.751070021542651,0.248929978457349,0.0254463766938003,0.0254463766938003
"San Fernando",0.617109772942828,0.382890227057172,0.0299530322338353,0.0299530322338353
"San Javier",0.642094116690799,0.357905883309201,0.0320569775722695,0.0320569775722695
"San Joaquin",0.730266269524937,0.269733730475063,0.03103252024606,0.03103252024606
"San Miguel",0.677881032979344,0.322118967020656,0.0245877225105346,0.0245877225105346
"San Pedro de la Paz",0.729470149142293,0.270529850857707,0.0215363459885588,0.0215363459885588
"San Ramon",0.776039363719986,0.223960636280014,0.0231094829479081,0.0231094829479081
"San Vicente",0.730211725807492,0.269788274192508,0.0356179774571299,0.0356179774571299
"Santa Cruz",0.765796893549769,0.234203106450231,0.0345506352455443,0.0345506352455443
"Santiago",0.742519877750262,0.257480122249738,0.0166806232897598,0.0166806232897598
"Talagante",0.741919111068207,0.258080888931793,0.0261448761406553,0.0261448761406553
"Talca",0.672368722724254,0.327631277275746,0.0214004851386544,0.0214004851386544
"Talcahuano",0.597357066106534,0.402642933893466,0.0299797566119866,0.0299797566119866
"Temuco",0.663630216640995,0.336369783359005,0.0219483636693981,0.0219483636693981
"Tocopilla",0.672748456614464,0.327251543385536,0.0345851983264862,0.0345851983264862
"Tome",0.686568917824749,0.313431082175251,0.0271439558509472,0.0271439558509472
"Valdivia",0.638461079654715,0.361538920345285,0.0215467100048532,0.0215467100048532
"Vallenar",0.727677584004139,0.272322415995861,0.0348327880307421,0.0348327880307421
"Valparaiso",0.743108028646034,0.256891971353966,0.0187933600655292,0.0187933600655292
"Victoria",0.623143599472367,0.376856400527633,0.0280886264164524,0.0280886264164524
"Vilcun",0.82074968074659,0.17925031925341,0.0276127978981406,0.0276127978981406
"Villa Alemana",0.799165901291531,0.200834098708469,0.0167245577080286,0.0167245577080286
"Villarrica",0.718814485974353,0.281185514025647,0.0377874230774094,0.0377874230774094
"Vina del Mar",0.6482489150304,0.3517510849696,0.0195304916045701,0.0195304916045701
"Vitacura",0.755988509945103,0.244011490054897,0.037609506295583,0.037609506295583
"Yungay",0.655181357864229,0.344818642135771,0.0458596055156852,0.0458596055156852
