"comuna","si_medidas_seguridad_whatsappFALSE","si_medidas_seguridad_whatsappTRUE","se.si_medidas_seguridad_whatsappFALSE","se.si_medidas_seguridad_whatsappTRUE"
"Padre Hurtado",0.521356946703888,0.478643053296112,0.0389504439170042,0.0389504439170042
"Padre Las Casas",0.494023260392461,0.505976739607539,0.0501732187713498,0.0501732187713498
"Paillaco",0.771796887820084,0.228203112179916,0.0483315661422369,0.048331566142237
"Paine",0.467666821643657,0.532333178356343,0.0442478855495032,0.0442478855495032
"Panguipulli",0.598872211544783,0.401127788455217,0.0682877798142921,0.0682877798142921
"Parral",0.563832173982087,0.436167826017913,0.0437131673569136,0.0437131673569136
"Pedro Aguirre Cerda",0.502671835178528,0.497328164821472,0.0340556059167631,0.0340556059167631
"Penaflor",0.354912019583237,0.645087980416763,0.0382519455126811,0.0382519455126811
"Penalolen",0.553202702181438,0.446797297818562,0.049269260094473,0.049269260094473
"Penco",0.487415049181329,0.512584950818671,0.03380534552265,0.03380534552265
"Pichilemu",0.601780733307384,0.398219266692616,0.0590156953082484,0.0590156953082484
"Pitrufquen",0.581056655381232,0.418943344618768,0.0682894533836482,0.0682894533836482
"Pozo Almonte",0.477019016461071,0.522980983538929,0.0588506776365736,0.0588506776365736
"Providencia",0.392862417939368,0.607137582060632,0.0270375703205398,0.0270375703205398
"Pucon",0.532070032698053,0.467929967301947,0.0481203298118993,0.0481203298118993
"Pudahuel",0.327286049933694,0.672713950066306,0.0398101423668054,0.0398101423668054
"Puente Alto",0.274810167074165,0.725189832925835,0.0278964703670027,0.0278964703670027
"Puerto Montt",0.484223630559745,0.515776369440255,0.0340247105588278,0.0340247105588278
"Puerto Varas",0.492743393591959,0.507256606408041,0.0585261666889973,0.0585261666889973
"Punta Arenas",0.728412953151497,0.271587046848503,0.0246082439344904,0.0246082439344904
"Quellon",0.779185249097325,0.220814750902675,0.0308536869439789,0.0308536869439789
"Quilicura",0.362001665807135,0.637998334192865,0.0454778071233525,0.0454778071233525
"Quillon",0.558815767066255,0.441184232933745,0.0537885988171492,0.0537885988171492
"Quillota",0.408829997454236,0.591170002545764,0.0405853109336122,0.0405853109336122
"Quilpue",0.375691539082781,0.624308460917219,0.0264432075336846,0.0264432075336846
"Quinta Normal",0.41421395896477,0.58578604103523,0.0343770652396133,0.0343770652396133
"Quirihue",0.79533529952801,0.20466470047199,0.0341379191172693,0.0341379191172693
"Rancagua",0.377270108678135,0.622729891321865,0.0282055498641514,0.0282055498641514
"Recoleta",0.615635823403764,0.384364176596236,0.0332507543778281,0.0332507543778281
"Renca",0.430133296417702,0.569866703582298,0.0433331698610077,0.0433331698610077
"Rengo",0.580180064064104,0.419819935935896,0.0490445356538868,0.0490445356538868
"Rio Bueno",0.867765164160902,0.132234835839098,0.0318594315103509,0.0318594315103509
"San Antonio",0.451506782275905,0.548493217724095,0.0386058521367484,0.0386058521367484
"San Bernardo",0.406037678012766,0.593962321987234,0.0472056977968253,0.0472056977968253
"San Carlos",0.618792972350849,0.381207027649151,0.0431934642553822,0.0431934642553822
"San Felipe",0.369047606649887,0.630952393350113,0.0323435044895641,0.0323435044895641
"San Fernando",0.499522954046251,0.500477045953749,0.0419171689240892,0.0419171689240892
"San Javier",0.569888647409097,0.430111352590903,0.0421133902097621,0.0421133902097621
"San Joaquin",0.424626613873271,0.575373386126729,0.0668291765488816,0.0668291765488816
"San Miguel",0.346787829129767,0.653212170870233,0.0324615163540555,0.0324615163540555
"San Pedro de la Paz",0.465104995403613,0.534895004596387,0.0411335212283418,0.0411335212283418
"San Ramon",0.548665136185944,0.451334863814057,0.037389584141556,0.037389584141556
"San Vicente",0.642739363004456,0.357260636995544,0.0400512363694401,0.0400512363694401
"Santa Cruz",0.501626918711096,0.498373081288904,0.0415018056120229,0.0415018056120229
"Santiago",0.474431556064819,0.525568443935181,0.022835014221122,0.022835014221122
"Talagante",0.425090087095425,0.574909912904575,0.0370625498126561,0.0370625498126561
"Talca",0.543192201630185,0.456807798369815,0.0258123340944541,0.0258123340944541
"Talcahuano",0.417683173898057,0.582316826101943,0.0340039840427903,0.0340039840427902
"Temuco",0.418694534104098,0.581305465895902,0.0270776925735624,0.0270776925735624
"Tocopilla",0.591995049717019,0.408004950282981,0.0504855120854339,0.0504855120854339
"Tome",0.552292765635326,0.447707234364674,0.0348930472741664,0.0348930472741664
"Valdivia",0.536144226983336,0.463855773016664,0.0325894255098127,0.0325894255098127
"Vallenar",0.605714590890078,0.394285409109922,0.0417363619215501,0.0417363619215501
"Valparaiso",0.429520057398261,0.570479942601739,0.0269990726154818,0.0269990726154818
"Victoria",0.702211554736305,0.297788445263695,0.0439637671728609,0.0439637671728609
"Vilcun",0.60876279716155,0.39123720283845,0.0640713515557884,0.0640713515557884
"Villa Alemana",0.305742561509166,0.694257438490834,0.024524053022047,0.024524053022047
"Villarrica",0.685904742188133,0.314095257811867,0.0432672324657123,0.0432672324657123
"Vina del Mar",0.452268741077064,0.547731258922936,0.024383439565003,0.024383439565003
"Vitacura",0.391689343537633,0.608310656462367,0.044101546033342,0.044101546033342
"Yungay",0.65791996136569,0.34208003863431,0.0365755995295738,0.0365755995295738
