"comuna","si_presencia_pandillasFALSE","si_presencia_pandillasTRUE","se.si_presencia_pandillasFALSE","se.si_presencia_pandillasTRUE"
"Nueva Imperial",0.831110832059572,0.168889167940428,0.0309526235093611,0.0309526235093611
"Nunoa",0.846611904201409,0.153388095798591,0.0231266567476407,0.0231266567476407
"Osorno",0.901384732858201,0.0986152671417989,0.0166093717234597,0.0166093717234597
"Ovalle",0.773032015233924,0.226967984766076,0.0255582740901048,0.0255582740901048
"Padre Hurtado",0.669297563484742,0.330702436515258,0.0433267299454352,0.0433267299454352
"Padre Las Casas",0.777565714907212,0.222434285092788,0.0294322056453494,0.0294322056453494
"Paillaco",0.803428699304922,0.196571300695078,0.0309393291046723,0.0309393291046722
"Paine",0.765407247569134,0.234592752430866,0.0299254722572109,0.0299254722572109
"Panguipulli",0.886056100581609,0.113943899418391,0.0237325678430973,0.0237325678430973
"Parral",0.88235744478664,0.11764255521336,0.0233152755512048,0.0233152755512048
"Pedro Aguirre Cerda",0.750742847999741,0.249257152000259,0.0273081380714277,0.0273081380714277
"Penaflor",0.690386903304688,0.309613096695312,0.031651335811963,0.031651335811963
"Penalolen",0.680410806106352,0.319589193893648,0.0343009549797807,0.0343009549797807
"Penco",0.821863881662436,0.178136118337564,0.022619380213768,0.022619380213768
"Pichilemu",0.863666891302338,0.136333108697662,0.0269217708699681,0.0269217708699681
"Pitrufquen",0.814168294753295,0.185831705246705,0.0349239140054501,0.0349239140054501
"Pozo Almonte",0.754263214169668,0.245736785830332,0.0323317169657109,0.0323317169657109
"Providencia",0.910376850247118,0.0896231497528819,0.0128857692639702,0.0128857692639702
"Pucon",0.896050372519074,0.103949627480926,0.0247467813429122,0.0247467813429123
"Pudahuel",0.727144893953311,0.272855106046689,0.0285423539632467,0.0285423539632467
"Puente Alto",0.750077613289202,0.249922386710798,0.021535910006666,0.021535910006666
"Puerto Montt",0.825788240734613,0.174211759265387,0.0205961734168931,0.0205961734168931
"Puerto Varas",0.857469937549167,0.142530062450833,0.027081641171214,0.027081641171214
"Punta Arenas",0.919505865485452,0.0804941345145478,0.011800100254024,0.011800100254024
"Quellon",0.828562962395901,0.171437037604099,0.0322069906371505,0.0322069906371505
"Quilicura",0.71247597143163,0.28752402856837,0.0278342345702765,0.0278342345702765
"Quillon",0.889606489153602,0.110393510846398,0.0226448658728907,0.0226448658728907
"Quillota",0.765017806061085,0.234982193938915,0.0282936240090854,0.0282936240090854
"Quilpue",0.780277962457237,0.219722037542763,0.0228645632617344,0.0228645632617344
"Quinta Normal",0.575441654540993,0.424558345459007,0.0277324557791884,0.0277324557791884
"Quirihue",0.900464224286403,0.0995357757135967,0.0256677237773562,0.0256677237773562
"Rancagua",0.796414845854231,0.203585154145769,0.0236815168797182,0.0236815168797182
"Recoleta",0.619169453609675,0.380830546390325,0.0273030632803924,0.0273030632803924
"Renca",0.743865405119601,0.256134594880399,0.0275526366732089,0.0275526366732089
"Rengo",0.829001422955305,0.170998577044695,0.0221504381251295,0.0221504381251295
"Rio Bueno",0.910354796747719,0.0896452032522813,0.0232230438985125,0.0232230438985125
"San Antonio",0.784524186962595,0.215475813037405,0.0240201517936055,0.0240201517936055
"San Bernardo",0.59698435859191,0.40301564140809,0.0355434540640507,0.0355434540640507
"San Carlos",0.895548140171576,0.104451859828424,0.0197393687948195,0.0197393687948195
"San Felipe",0.811656721241535,0.188343278758465,0.0242403473823244,0.0242403473823244
"San Fernando",0.812795121231245,0.187204878768755,0.0264178840664074,0.0264178840664074
"San Javier",0.767224151889071,0.232775848110929,0.0390014093992166,0.0390014093992166
"San Joaquin",0.695506978036801,0.304493021963199,0.0388303641188412,0.0388303641188412
"San Miguel",0.760213334990541,0.239786665009459,0.0209070583989116,0.0209070583989116
"San Pedro de la Paz",0.768284307842737,0.231715692157263,0.0270410763959625,0.0270410763959625
"San Ramon",0.695072738649957,0.304927261350043,0.0327917167328038,0.0327917167328038
"San Vicente",0.814065826603208,0.185934173396792,0.0312841004971592,0.0312841004971592
"Santa Cruz",0.84811833431047,0.15188166568953,0.0366375445302498,0.0366375445302498
"Santiago",0.600413376040643,0.399586623959357,0.0171664252280879,0.0171664252280879
"Talagante",0.711050739446998,0.288949260553002,0.0324811357641671,0.0324811357641671
"Talca",0.830281324328046,0.169718675671954,0.0182561173620004,0.0182561173620004
"Talcahuano",0.690369996810071,0.309630003189929,0.0348527654842707,0.0348527654842707
"Temuco",0.84886981757381,0.15113018242619,0.0167461370648959,0.0167461370648959
"Tocopilla",0.774583649225944,0.225416350774056,0.034381856007513,0.034381856007513
"Tome",0.876329423430322,0.123670576569677,0.0166986148322652,0.0166986148322652
"Valdivia",0.837798727341099,0.162201272658901,0.0175431390774019,0.0175431390774019
"Vallenar",0.827494706198591,0.172505293801409,0.030077104627175,0.030077104627175
"Valparaiso",0.745110479530086,0.254889520469914,0.0184547282338239,0.0184547282338239
"Victoria",0.886042634625071,0.113957365374929,0.0328912812826944,0.0328912812826944
"Vilcun",0.837267223153388,0.162732776846612,0.0472253524758772,0.0472253524758772
"Villa Alemana",0.774514709794755,0.225485290205245,0.0237655224875521,0.0237655224875521
"Villarrica",0.77742474533428,0.22257525466572,0.0348941875118108,0.0348941875118108
"Vina del Mar",0.795184421907461,0.204815578092539,0.0175195530350239,0.0175195530350239
"Vitacura",0.882184719450728,0.117815280549272,0.0291628936639193,0.0291628936639193
"Yungay",0.873450112646583,0.126549887353417,0.0371437233725813,0.0371437233725813
