"comuna","si_medida_seguridad_rejasFALSE","si_medida_seguridad_rejasTRUE","se.si_medida_seguridad_rejasFALSE","se.si_medida_seguridad_rejasTRUE"
"Penco",0.595561001872721,0.40443899812728,0.0424793145014868,0.0424793145014868
"Pichilemu",0.709908242935756,0.290091757064244,0.0410403138514709,0.0410403138514709
"Pitrufquen",0.767910817378975,0.232089182621025,0.0321003660446814,0.0321003660446814
"Pozo Almonte",0.707651993674245,0.292348006325755,0.0455191529123241,0.0455191529123241
"Providencia",0.650277226923683,0.349722773076317,0.03049110534194,0.03049110534194
"Pucon",0.680006558209505,0.319993441790495,0.0586403488018075,0.0586403488018075
"Pudahuel",0.290922234247912,0.709077765752088,0.0377003485262401,0.0377003485262401
"Puente Alto",0.163593609104378,0.836406390895622,0.0241406882720183,0.0241406882720183
"Puerto Montt",0.710012757343393,0.289987242656607,0.0240219010117779,0.0240219010117779
"Puerto Varas",0.901528520427988,0.0984714795720121,0.0213675781872911,0.021367578187291
"Punta Arenas",0.785918761407585,0.214081238592415,0.0274607541851151,0.0274607541851151
"Quellon",0.469592469281521,0.530407530718479,0.0871590160094279,0.0871590160094279
"Quilicura",0.250820358227394,0.749179641772606,0.036304948683345,0.036304948683345
"Quillon",0.605875672575432,0.394124327424568,0.0565788964279305,0.0565788964279305
"Quillota",0.310736764275105,0.689263235724895,0.0269902480209815,0.0269902480209815
"Quilpue",0.529123195882108,0.470876804117892,0.0266227527703322,0.0266227527703322
"Quinta Normal",0.423954621440461,0.576045378559539,0.0399577790755565,0.0399577790755565
"Quirihue",0.795216180228328,0.204783819771672,0.0234460193222706,0.0234460193222706
"Rancagua",0.305099285988379,0.694900714011621,0.0265104629319711,0.0265104629319711
"Recoleta",0.279256638072239,0.72074336192776,0.0294417525363071,0.0294417525363071
"Renca",0.29799216960159,0.70200783039841,0.0291677509162549,0.0291677509162549
"Rengo",0.533458401455193,0.466541598544807,0.036795493897611,0.036795493897611
"Rio Bueno",0.906353008952754,0.0936469910472457,0.0192263324298166,0.0192263324298166
"San Antonio",0.424171410398318,0.575828589601682,0.0397583535007308,0.0397583535007308
"San Bernardo",0.268165504664149,0.731834495335851,0.0290886000423194,0.0290886000423194
"San Carlos",0.532297679752959,0.467702320247041,0.0282129622100769,0.0282129622100769
"San Felipe",0.400871286389649,0.599128713610351,0.0325079805202589,0.0325079805202589
"San Fernando",0.295518832038983,0.704481167961017,0.0333455478242377,0.0333455478242377
