"comuna","si_presencia_balacerasFALSE","si_presencia_balacerasTRUE","se.si_presencia_balacerasFALSE","se.si_presencia_balacerasTRUE"
"San Vicente",0.881297686169902,0.118702313830098,0.0388036647272524,0.0388036647272524
"Santa Cruz",0.803671695377937,0.196328304622063,0.0304742068928833,0.0304742068928833
"Santiago",0.631139280436505,0.368860719563495,0.0204285947475672,0.0204285947475672
"Talagante",0.589378709867234,0.410621290132766,0.0392907688258933,0.0392907688258933
"Talca",0.632515557889526,0.367484442110474,0.0230862139987758,0.0230862139987758
"Talcahuano",0.540539166774688,0.459460833225312,0.0415591401568883,0.0415591401568883
"Temuco",0.727205070695835,0.272794929304165,0.0224408950255543,0.0224408950255543
"Tocopilla",0.902561198611786,0.0974388013882138,0.0243238934938267,0.0243238934938267
"Tome",0.752003606618624,0.247996393381376,0.0247513063056456,0.0247513063056456
"Valdivia",0.655258224246112,0.344741775753887,0.0301078791526802,0.0301078791526802
"Vallenar",0.651363908681277,0.348636091318723,0.0334842310188402,0.0334842310188402
"Valparaiso",0.630081979577544,0.369918020422456,0.0229736115233642,0.0229736115233642
"Victoria",0.825269531239303,0.174730468760697,0.0369699275093623,0.0369699275093623
"Vilcun",0.763960407900014,0.236039592099986,0.0500863583158778,0.0500863583158778
"Villa Alemana",0.653286593621004,0.346713406378996,0.0252969664941672,0.0252969664941672
"Villarrica",0.591281901784562,0.408718098215438,0.0429358021155435,0.0429358021155435
"Vina del Mar",0.60953969244628,0.39046030755372,0.0235513940439578,0.0235513940439578
"Vitacura",0.875007372069604,0.124992627930396,0.0250783971353463,0.0250783971353463
"Yungay",0.962389285436608,0.0376107145633923,0.0121571886569669,0.0121571886569669
