"comuna","confia_muchobastante_policiasFALSE","confia_muchobastante_policiasTRUE","se.confia_muchobastante_policiasFALSE","se.confia_muchobastante_policiasTRUE"
"San Fernando",0.596008968136985,0.403991031863015,0.0291883017026791,0.0291883017026791
"San Javier",0.662295212975511,0.337704787024489,0.0365219014825428,0.0365219014825428
"San Joaquin",0.732077988864897,0.267922011135103,0.0298919083772054,0.0298919083772054
"San Miguel",0.683905403031435,0.316094596968565,0.0243779447920955,0.0243779447920955
"San Pedro de la Paz",0.719154525660549,0.280845474339451,0.0210216093950449,0.0210216093950449
"San Ramon",0.754237720107349,0.245762279892651,0.0263044112376213,0.0263044112376213
"San Vicente",0.725149133220515,0.274850866779485,0.0347472639081871,0.0347472639081871
"Santa Cruz",0.758078992466222,0.241921007533778,0.0275567550571095,0.0275567550571095
"Santiago",0.728533108954214,0.271466891045786,0.0169041547698888,0.0169041547698888
"Talagante",0.75786216127995,0.24213783872005,0.0245688535277192,0.0245688535277192
"Talca",0.656518608153273,0.343481391846727,0.0226394566779222,0.0226394566779222
"Talcahuano",0.609671536826643,0.390328463173357,0.0275930343376938,0.0275930343376938
"Temuco",0.652000102824884,0.347999897175116,0.020889659048073,0.020889659048073
"Tocopilla",0.665769078473724,0.334230921526276,0.0345424130613902,0.0345424130613902
"Tome",0.68557433917316,0.31442566082684,0.0270720352978048,0.0270720352978048
"Valdivia",0.648582076429134,0.351417923570866,0.019919953638595,0.019919953638595
"Vallenar",0.769651821083442,0.230348178916558,0.0312601357529628,0.0312601357529628
"Valparaiso",0.743117331888245,0.256882668111755,0.0193371096997697,0.0193371096997697
"Victoria",0.655433830720692,0.344566169279308,0.0269391819027321,0.0269391819027321
"Vilcun",0.829507010392097,0.170492989607903,0.0233840673929027,0.0233840673929027
"Villa Alemana",0.7940300832428,0.205969916757199,0.0160712012385778,0.0160712012385778
"Villarrica",0.715911218500418,0.284088781499582,0.037035205821284,0.037035205821284
"Vina del Mar",0.663010468837815,0.336989531162185,0.0179740331045141,0.0179740331045141
"Vitacura",0.753400884813044,0.246599115186956,0.0347622348050894,0.0347622348050894
"Yungay",0.661816726968098,0.338183273031902,0.0442074515734535,0.0442074515734535
