"comuna","victimizacion_armada_de_algun_tipoFALSE","victimizacion_armada_de_algun_tipoTRUE","se.victimizacion_armada_de_algun_tipoFALSE","se.victimizacion_armada_de_algun_tipoTRUE"
"Macul",0.981656205789757,0.0183437942102431,0.00811678277426807,0.00811678277426807
"Maipu",0.956295501569445,0.0437044984305555,0.00922493066270152,0.00922493066270152
"Maule",0.992810465417547,0.00718953458245337,0.00536919247240134,0.00536919247240134
"Melipilla",0.985833705876481,0.014166294123519,0.00806958342861869,0.00806958342861869
"Molina",0.994452004116151,0.00554799588384863,0.00328560330339461,0.00328560330339461
"Mostazal",0.993722449527655,0.00627755047234477,0.00624682191566133,0.00624682191566133
"Natales",1,0,0,0
"Nueva Imperial",1,0,8.10821835274616e-18,0
"Nunoa",0.975173499382735,0.0248265006172653,0.00815890492426973,0.00815890492426973
"Osorno",0.999196940796978,0.000803059203022377,0.00080687677306472,0.00080687677306472
"Ovalle",0.9921680101325,0.00783198986749958,0.00388894350483011,0.00388894350483011
"Padre Hurtado",0.977367821872777,0.0226321781272231,0.00929687566813153,0.00929687566813153
"Padre Las Casas",1,0,0,0
"Paillaco",1,0,0,0
"Paine",0.984384829764036,0.0156151702359641,0.00728893697804808,0.00728893697804808
"Panguipulli",1,0,0,0
"Parral",0.993284232825791,0.00671576717420894,0.00669905869942663,0.00669905869942663
"Pedro Aguirre Cerda",0.973250988458192,0.0267490115418077,0.0107606550915366,0.0107606550915366
"Penaflor",0.984308262967076,0.0156917370329236,0.00747901910671678,0.00747901910671678
"Penalolen",0.985812899951953,0.0141871000480473,0.00762298307139103,0.00762298307139103
"Penco",0.991815399967223,0.0081846000327766,0.00424325636070618,0.00424325636070618
"Pichilemu",1,0,0,0
"Pitrufquen",0.972330599453721,0.0276694005462787,0.0168774564155214,0.0168774564155214
"Pozo Almonte",0.993835870738523,0.00616412926147727,0.00455759455331858,0.00455759455331858
"Providencia",0.996992046204379,0.00300795379562055,0.00217420135949541,0.00217420135949541
"Pucon",1,0,0,0
"Pudahuel",0.950904996450988,0.0490950035490116,0.0159016335059775,0.0159016335059775
"Puente Alto",0.967545924696268,0.0324540753037324,0.00918607404694902,0.00918607404694902
"Puerto Montt",0.992211285749848,0.00778871425015185,0.00551551958079854,0.00551551958079854
"Puerto Varas",1,0,0,0
"Punta Arenas",1,0,0,0
"Quellon",1,0,0,0
"Quilicura",0.968381805247613,0.0316181947523873,0.0106521941208942,0.0106521941208942
"Quillon",0.99152500197892,0.00847499802108053,0.00867519950356382,0.00867519950356382
"Quillota",0.986234848110898,0.0137651518891021,0.0071347693396642,0.0071347693396642
"Quilpue",0.995284752292348,0.00471524770765226,0.00252272839898009,0.00252272839898009
"Quinta Normal",0.967597889888773,0.0324021101112272,0.0102253942914207,0.0102253942914207
"Quirihue",1,0,0,0
"Rancagua",0.98068279729655,0.0193172027034502,0.00663191675091583,0.00663191675091583
"Recoleta",0.958079409979294,0.0419205900207062,0.00962414917663435,0.00962414917663435
"Renca",0.932540059471723,0.0674599405282769,0.0152144835223914,0.0152144835223914
"Rengo",0.990634021581247,0.00936597841875316,0.00740142821208245,0.00740142821208245
"Rio Bueno",1,0,0,0
"San Antonio",0.988647945456394,0.0113520545436063,0.00892454489111519,0.0089245448911152
"San Bernardo",0.953516441700965,0.0464835582990348,0.0134810934582815,0.0134810934582815
"San Carlos",1,0,0,0
"San Felipe",0.984644766942349,0.0153552330576511,0.00776414490422983,0.00776414490422983
"San Fernando",1,0,0,0
"San Javier",0.99734980043004,0.00265019956995965,0.0026634558834059,0.0026634558834059
"San Joaquin",1,0,0,0
"San Miguel",0.979693691607191,0.0203063083928086,0.0085792179850199,0.0085792179850199
"San Pedro de la Paz",0.985598966084471,0.0144010339155291,0.00590297604640712,0.00590297604640712
"San Ramon",0.951738973597122,0.0482610264028779,0.0160982752957393,0.0160982752957393
"San Vicente",0.994173222430421,0.00582677756957869,0.0058711470596031,0.0058711470596031
"Santa Cruz",1,0,0,0
"Santiago",0.967395778839424,0.0326042211605756,0.00646981042876792,0.00646981042876792
