"comuna","si_arma_en_casaFALSE","si_arma_en_casaTRUE","se.si_arma_en_casaFALSE","se.si_arma_en_casaTRUE"
"San Carlos",0.955795898876714,0.0442041011232862,0.0134726891080865,0.0134726891080865
"San Felipe",0.967271174465092,0.0327288255349075,0.00848646652662561,0.00848646652662561
"San Fernando",0.960529462460164,0.0394705375398359,0.00989295316772223,0.00989295316772223
"San Javier",0.956665554044737,0.0433344459552629,0.013376386133183,0.013376386133183
"San Joaquin",0.98076808031559,0.0192319196844105,0.00941619903526657,0.00941619903526657
"San Miguel",0.980564597012958,0.0194354029870421,0.00750316947844678,0.00750316947844678
"San Pedro de la Paz",0.934725461653494,0.0652745383465055,0.0129311800809526,0.0129311800809526
"San Ramon",0.961574640492381,0.0384253595076195,0.00967961139724769,0.00967961139724769
"San Vicente",0.958285551120641,0.0417144488793588,0.0146635743932225,0.0146635743932225
"Santa Cruz",0.949992212570279,0.0500077874297208,0.0155866035750068,0.0155866035750068
"Santiago",0.984362544204065,0.0156374557959353,0.00402379580665309,0.00402379580665309
"Talagante",0.96598134164026,0.0340186583597403,0.0117557974855035,0.0117557974855035
"Talca",0.944580929667287,0.0554190703327133,0.00846515290635759,0.00846515290635759
"Talcahuano",0.963158439218636,0.0368415607813644,0.00975334384642244,0.00975334384642244
"Temuco",0.954462101934061,0.0455378980659389,0.00873633539132995,0.00873633539132995
"Tocopilla",1,0,0,0
"Tome",0.948253203523322,0.0517467964766781,0.0128261636868026,0.0128261636868026
"Valdivia",0.973234494936192,0.0267655050638082,0.00696274333533659,0.00696274333533659
"Vallenar",0.99122908736768,0.00877091263232019,0.00513323323203442,0.00513323323203442
"Valparaiso",0.975499154284508,0.0245008457154923,0.00683774806629534,0.00683774806629534
"Victoria",0.91346249565964,0.0865375043403599,0.0170915291764731,0.0170915291764731
"Vilcun",0.924565783677759,0.0754342163222407,0.0212676813236841,0.0212676813236841
"Villa Alemana",0.952437595517011,0.047562404482989,0.00887669764716111,0.00887669764716111
"Villarrica",0.960016439877844,0.0399835601221561,0.016534639341129,0.016534639341129
"Vina del Mar",0.954732565906322,0.045267434093678,0.0074930804227748,0.0074930804227748
"Vitacura",0.93551453306754,0.0644854669324605,0.0198649370409033,0.0198649370409033
"Yungay",0.941636516976498,0.0583634830235017,0.0194958742219131,0.0194958742219131
