"comuna","si_presencia_pandillasFALSE","si_presencia_pandillasTRUE","se.si_presencia_pandillasFALSE","se.si_presencia_pandillasTRUE"
"San Ramon",0.675042820313656,0.324957179686344,0.0322055313759084,0.0322055313759084
"San Vicente",0.815310370033284,0.184689629966716,0.0304226028566281,0.0304226028566281
"Santa Cruz",0.845134410708548,0.154865589291452,0.0345873754707009,0.0345873754707009
"Santiago",0.606709315759473,0.393290684240527,0.0177805357711983,0.0177805357711983
"Talagante",0.729571300014946,0.270428699985054,0.0306069206614307,0.0306069206614307
"Talca",0.832140801516749,0.167859198483251,0.0175359182044564,0.0175359182044564
"Talcahuano",0.69383395505276,0.30616604494724,0.0353733447876202,0.0353733447876202
"Temuco",0.842664910654818,0.157335089345182,0.0178468742432371,0.0178468742432371
"Tocopilla",0.782671027869294,0.217328972130706,0.033690148404438,0.033690148404438
"Tome",0.851574699225886,0.148425300774114,0.0203648293391107,0.0203648293391107
"Valdivia",0.83064200964815,0.16935799035185,0.0198577952318368,0.0198577952318368
"Vallenar",0.814843560217261,0.185156439782739,0.0310311832183219,0.0310311832183219
"Valparaiso",0.732394340264019,0.267605659735981,0.0195593380064224,0.0195593380064224
"Victoria",0.877255852298222,0.122744147701778,0.0398321875565347,0.0398321875565347
"Vilcun",0.850662023459789,0.149337976540211,0.0489955703752193,0.0489955703752193
"Villa Alemana",0.779896334258188,0.220103665741812,0.0243037706087991,0.0243037706087991
"Villarrica",0.750428642505436,0.249571357494564,0.0393981207065476,0.0393981207065476
"Vina del Mar",0.778013484107798,0.221986515892202,0.0183158572431279,0.0183158572431279
"Vitacura",0.8772606110969,0.1227393889031,0.0292579529969804,0.0292579529969804
"Yungay",0.862008346515694,0.137991653484306,0.0343696507914267,0.0343696507914267
